Chinees	Counter({'Chinese': 1})
noord	Counter({'north': 1})
normaal	Counter({'normal, usual': 1})
noteren	Counter({'to write down': 1})
november	Counter({'November': 2})
nu	Counter({'now': 3})
nul appels	Counter({'zero apples': 1})
of	Counter({'or': 3})
officieel	Counter({'official': 1})
oktober	Counter({'October': 1, 'Oktober': 1})
om	Counter({'at': 1})
om tien uur	Counter({'at ten o’clock': 1})
oma	Counter({'grandmother': 1})
omdat	Counter({'because': 2})
ondanks	Counter({'despite': 1})
onder	Counter({'below': 1, 'under': 1})
ondergronds	Counter({'underground': 1})
onderstrepen	Counter({'to underline': 1})
ondertussen	Counter({'meantime': 1})
onderzoeken	Counter({'to investigate': 1})
onduidelijk	Counter({'unclear': 1})
ongeduldig	Counter({'impatient': 2})
ongeveer	Counter({'about (2)': 1, 'about': 1})
onjuist	Counter({'incorrect, false': 1})
onmiddellijk	Counter({'immediate': 1})
onrustig	Counter({'restless': 1})
ons	Counter({'our (+het)': 1, 'the our (het)': 1})
onsterfelijk	Counter({'immortal': 1})
onszelf	Counter({'ourselves': 1})
ontdekken	Counter({'to discover': 2})
ontevreden	Counter({'dissatisfied': 1})
ontmoeten	Counter({'to meet': 1})
ontslaan	Counter({'to fire': 1})
ontspannen	Counter({'relaxed': 1})
ontspannend	Counter({'relaxing': 1})
ontstaan	Counter({'to arise': 1})
ontvangen	Counter({'to receive': 1})
ontwikkelen	Counter({'to develop': 1})
onze	Counter({'our (+de)': 1, 'the our (de)': 1})
ooit	Counter({'ever': 2})
ook	Counter({'as well / too / also': 1, 'also, too': 1, 'also': 1})
oost	Counter({'east': 1})
op	Counter({'at, on top': 1, 'on': 1})
op bezoek gaan	Counter({'to go visit': 1})
openen	Counter({'to open': 3})
ophalen	Counter({'to pick up': 1})
oplossen	Counter({'to solve': 1})
opnemen	Counter({'to record': 1})
opnieuw	Counter({'again (1)': 1})
opruimen	Counter({'to clean up': 1})
optreden	Counter({'to appear (2)': 1})
opzetten	Counter({'to set up': 1})
opzoeken	Counter({'to look up': 1})
oranje	Counter({'orange': 1})
organiseren	Counter({'to organize': 2})
oud	Counter({'old': 2})
ouderwets	Counter({'old-fashioned': 1})
over	Counter({'about, over': 1, 'about (prep.)': 1})
overal	Counter({'everywhere': 1})
overig	Counter({'other': 1})
overigens	Counter({'moreover': 1})
overlijden	Counter({'to die': 1})
overmorgen	Counter({'the day after tomorrow': 1})
overslaan	Counter({'to skip': 1})
overtuigen	Counter({'to convince': 2})
overtuigend	Counter({'convincing': 1})
overwegen	Counter({'to consider': 2})
paars	Counter({'purple': 1})
pakken	Counter({'to pack, to get': 1})
papa	Counter({'dad': 1})
parkeren	Counter({'to park': 1})
pas	Counter({'only/just (a small while ago)': 1, 'just (a small time ago)': 1})
passen	Counter({'to suit, fit': 1})
passend	Counter({'suitable': 1})
per	Counter({'by, per': 1})
perfect	Counter({'perfect': 2})
persoonlijk	Counter({'personal': 1})
pinnen	Counter({'to pay by debit card': 1})
pittig	Counter({'spicy': 1})
plaatsen	Counter({'to place, put (1)': 1, 'to place (2)': 1})
plakken	Counter({'to paste': 1})
plat	Counter({'flat': 1})
populair	Counter({'popular': 1})
prachtig	Counter({'beautiful, wonderful': 1, 'wonderful (2)': 1})
praten	Counter({'to talk': 4})
precies	Counter({'exact(ly)': 1, 'precisely': 1})
prima	Counter({'wonderful': 1})
proberen	Counter({'to try': 1})
raar	Counter({'strange': 1})
raden	Counter({'to guess': 1})
raken	Counter({'to touch, to hit': 1})
rangtelwoorden	Counter({'ordinal numbers': 1})
reageren	Counter({'to react': 1})
recht	Counter({'straight': 1})
rechts	Counter({'right': 2})
redelijk	Counter({'quite': 1})
reeds	Counter({'already (formal)': 1})
regelen	Counter({'to regulate, to arrange': 1})
regelmatig	Counter({'regularly': 1, 'regular': 1})
regenen	Counter({'to rain': 1})
reizen	Counter({'to travel': 2})
rekenen	Counter({'to count': 1})
repareren	Counter({'to repair': 1})
reserveren	Counter({'to make a reservation': 1})
rijden	Counter({'to drive': 1})
rijk	Counter({'rich': 2})
riskeren	Counter({'to risk': 1})
roepen	Counter({'to call (2)': 1})
roeren	Counter({'to stir': 1})
roken	Counter({'to smoke': 1})
romantisch	Counter({'romantic': 1})
rond	Counter({'around': 2})
rood	Counter({'red': 2})
roze	Counter({'pink': 1})
ruiken	Counter({'to smell': 2})
ruim	Counter({'spacious': 1})
rustig	Counter({'calm(ly)': 1, 'calm, restful': 1})
s avonds	Counter({'in the evening': 1})
s middags	Counter({'in the afternoon': 1})
s morgens	Counter({'in the morning': 1})
s nachts	Counter({'at night': 1})
saai	Counter({'boring': 2})
samen	Counter({'together': 2})
schieten	Counter({'to shoot': 1})
schijnen	Counter({'to shine': 1})
schillen	Counter({'to peel': 1})
schoon	Counter({'clean': 1})
schoonmaken	Counter({'to clean': 1})
schrijven	Counter({'to write': 3})
schuiven	Counter({'to push, to pull': 1})
september	Counter({'September': 2})
serieus	Counter({'serious': 1, 'seriously': 1})
serveren	Counter({'to serve': 1})
sinds	Counter({'since': 1})
sinds wanneer	Counter({'since when': 1})
slaan	Counter({'to hit': 1})
slagen	Counter({'to succeed (1)': 1})
slapen	Counter({'to sleep': 1})
slecht	Counter({'bad / wrong / incorrect': 1, 'badly / poorly': 1, 'bad': 1})
slecht weer	Counter({'bad weather': 1})
slechtst	Counter({'worst': 1})
slim	Counter({'clever': 2})
slordig	Counter({'messy': 1})
sluiten	Counter({'to close': 2})
smal	Counter({'narrow': 1})
smeren	Counter({'to spread': 1})
snappen	Counter({'to understand (2)': 1})
sneeuwen	Counter({'to snow': 1})
snel	Counter({'fast / quick': 1, 'soon': 1, 'quickly': 1})
snijden	Counter({'to cut': 1, 'to cut (with a knife)': 1, 'to cut with knife': 1})
sociaal	Counter({'social': 1})
solliciteren	Counter({'to apply for': 1})
sommige	Counter({'some': 2})
soms	Counter({'sometimes': 2})
sorry	Counter({'извините': 1})
spannend	Counter({'exciting': 1})
speciaal	Counter({'special': 1, 'special, especially': 1})
spelen	Counter({'to play': 1})
spoed	Counter({'urgent': 1})
spontaan	Counter({'spontaneous': 1})
sporten	Counter({'to exercise': 1, 'to excersise sport': 1})
sportief	Counter({'sporty': 1})
spreken	Counter({'to speak': 2})
springen	Counter({'to jump': 1})
staan	Counter({'to stand': 3})
stalen	Counter({'steel (adj)': 1})
stampen	Counter({'to mash': 1})
stap voor stap	Counter({'step by step': 1})
stappen	Counter({'to go out (and drink)': 1})
starten	Counter({'to start': 1})
steeds	Counter({'always (2)': 1})
steken	Counter({'a) to stab b) to put': 1})
stellen	Counter({'to put (4)': 1})
stemmen	Counter({'to vote': 1})
sterk	Counter({'strong': 2})
sterven	Counter({'to expire': 1})
stevig	Counter({'firm (2, adj.)': 1})
stijgen	Counter({'to rise': 1})
stil	Counter({'quiet': 2})
stofzuigen	Counter({'to vacuum': 1})
stoppen	Counter({'to stop': 1})
stout	Counter({'naughty': 1})
straks	Counter({'later': 1})
strijken	Counter({'to iron': 1})
studeren	Counter({'to study': 2})
sturen	Counter({'to send': 2})
succes	Counter({'good luck': 1})
sympathiek	Counter({'sympathetic': 1})
te veel	Counter({'too much': 1})
tegelijk	Counter({'at the same time': 1})
tegen	Counter({'against': 2})
tegenover	Counter({'opposite': 1, 'opposite, against': 1})
tegenwoordig	Counter({'nowadays': 1})
tekenen	Counter({'to draw': 2})
teleurgesteld	Counter({'disappointed': 1})
telkens	Counter({'each time': 1})
tellen	Counter({'to count': 1})
tennissen	Counter({'to play tennis': 1})
tenslotte	Counter({'at last': 1})
terecht	Counter({'fair, justly, deserved': 1})
terug	Counter({'back': 2})
terwijl	Counter({'while': 1})
tevreden	Counter({'satisfied': 2})
thuis	Counter({'at home': 2})
tien	Counter({'ten': 1})
tien over zes	Counter({'ten past six': 1})
tiende	Counter({'tenth': 1})
tijdens	Counter({'during': 1})
toch	Counter({'yet (2)': 1})
toe	Counter({'towards': 1})
toen	Counter({'then (about the past)': 1})
toevoegen	Counter({'to add': 2})
tot	Counter({'until': 1})
tot morgen	Counter({'see you tomorrow': 1})
tot snel	Counter({'see you soon': 1})
tot straks	Counter({'see you later': 1})
tot ziens	Counter({'see you': 1, 'see you, goodbye': 1})
totaal	Counter({'total': 1})
treffen	Counter({'to hit, to strike': 1})
trots	Counter({'proud': 1})
trouw	Counter({'faithful': 1})
trouwen	Counter({'to marry': 1})
trouwens	Counter({'moreover, besides, by the way': 1})
tuinieren	Counter({'gardening': 1, 'to garden': 1})
tussen	Counter({'between': 2})
twaalf	Counter({'twelve': 1})
twaalf uur s middags	Counter({'noon (exact time stamp)': 1})
twaalfde	Counter({'twelfth': 1})
twee	Counter({'two': 1})
twee uur	Counter({'two o’clock': 1})
tweede	Counter({'second': 2})
tweedehands	Counter({'second-hand': 1})
tweehonderd	Counter({'two hundred': 1})
tweehonderdachtendertig	Counter({'238': 1})
tweehonderdachtentwintig	Counter({'228': 1})
tweehonderddertig	Counter({'230': 1})
tweehonderddrieëndertig	Counter({'233': 1})
tweehonderdeenendertig	Counter({'231': 1})
tweehonderdnegenendertig	Counter({'239': 1})
tweehonderdnegenentwintig	Counter({'229': 2})
tweehonderdtweeëndertig	Counter({'232': 1})
tweehonderdvierendertig	Counter({'234': 1})
tweehonderdvijfendertig	Counter({'235': 1})
tweehonderdvijfentwintig	Counter({'225': 1})
tweehonderdzesendertig	Counter({'236': 1})
tweehonderdzesentwintig	Counter({'226': 1})
tweehonderdzevenendertig	Counter({'237': 1})
tweehonderdzevenentwintig	Counter({'227': 1})
tweemaal	Counter({'twice': 1})
twintig	Counter({'twenty': 1})
twintig voor vijf	Counter({'twenty to five': 1})
twintigste	Counter({'twentieth': 1})
typisch	Counter({'typical': 1})
u	Counter({'ты (уважит.)': 1, 'you (singular, formal)': 1})
uit	Counter({'from (1)': 1})
uit eten gaan	Counter({'to go out for dinner': 1})
uit je hoofd leren	Counter({'to learn by heart': 1})
uiteindelijk	Counter({'final (adj.)': 1})
uiteraard	Counter({'of course, naturally (2)': 1})
uitgaan	Counter({'to go out': 2})
uitgeven	Counter({'to spend': 1})
uitleggen	Counter({'to explain': 2})
uitnodigen	Counter({'to invite': 2})
uw	Counter({'your (formal)': 1, 'your (singular, formal)': 1})
vaak	Counter({'often': 3})
vallen	Counter({'to fall': 1})
van	Counter({'from': 1})
van twee uur tot vijf uur	Counter({'from two till five o’clock': 1})
van wie	Counter({'whose': 1})
vanaf	Counter({'from (2)': 2})
vanavond	Counter({'tonight': 1, 'this evening': 1})
vandaag	Counter({'today': 3})
vanwege	Counter({'because of': 1})
vast	Counter({'fixed': 1, 'fixed, certain': 1})
vasthouden	Counter({'to hold (in hand)': 1})
veel	Counter({'many / much / a lot': 1, 'many, much': 1})
veertien	Counter({'fourteen': 1})
veertiende	Counter({'fourteenth': 1})
veertig	Counter({'forty': 1})
veilig	Counter({'safe': 1})
ver	Counter({'far (away)': 1, 'far': 1})
veranderen	Counter({'to change': 1})
verbinden	Counter({'a) to link b) to bandage': 1})
verborgen	Counter({'hidden': 1})
verder	Counter({'further': 1, 'further (away)': 1})
verdienen	Counter({'to earn': 2})
verdrietig	Counter({'sad': 1})
verdwijnen	Counter({'to disappear': 1})
vergelijken	Counter({'to compare': 2})
vergeten	Counter({'to forget': 2})
vergissen	Counter({'to be mistaken': 1})
verhitten	Counter({'to heat': 1})
verhuizen	Counter({'to move to another living place': 1})
verkeerd	Counter({'wrong, incorrect': 1})
verklaren	Counter({'to explain (2)': 1})
verkopen	Counter({'to sell': 2})
verkouden zijn	Counter({'to have a cold': 1})
verlaten	Counter({'to leave (+smth, e.g. trein) without intent to return': 1})
verlegen	Counter({'shy': 1})
verliefd zijn	Counter({'to be in love': 1})
verliezen	Counter({'to lose': 1})
verlopen	Counter({'to expire (2)': 1})
verplichten	Counter({'to oblige': 1})
verrassen	Counter({'to surprise': 1})
verrast	Counter({'surprised': 1})
vers	Counter({'fresh': 1})
verschijnen	Counter({'to appear': 1})
verschillend	Counter({'different': 1, 'different (adj.)': 1})
verschrikkelijk	Counter({'terrible': 1})
vertellen	Counter({'to tell': 3})
vertrekken	Counter({'to leave (expected to be back)': 1, 'to leave': 1})
vertrouwen	Counter({'to trust': 1})
vervelen	Counter({'to annoy': 1})
vervelend	Counter({'annoying': 1})
vervolgens	Counter({'then, subsequently (adv.)': 1})
verwachten	Counter({'to expect': 1})
verwarmen	Counter({'to warm': 1})
verwijzen	Counter({'to refer': 1})
vier	Counter({'four': 1})
vierde	Counter({'fourth': 1})
vieren	Counter({'to celebrate': 2})
vies	Counter({'dirty, disgusting': 1, 'filthy': 1})
vijf	Counter({'five': 1})
vijf over half vier	Counter({'twenty five to four': 1})
vijf voor acht	Counter({'five to eight': 1})
vijf voor half zeven	Counter({'twenty five past six': 1})
vijfde	Counter({'fifth': 1})
vijftien	Counter({'fifteen': 1})
vijftiende	Counter({'fifteenth': 1})
vijftig	Counter({'fifty': 1})
vinden	Counter({'to find, to think (have an opinion)': 1, 'to find / to discover': 1, 'to find': 1})
vlak	Counter({'planar, flat': 1})
vliegen	Counter({'to fly': 2})
voelen	Counter({'to feel, to touch': 1, 'to feel': 1})
voeren	Counter({'to carry out': 1})
voetballen	Counter({'to play football': 1})
vol	Counter({'full': 1})
voldoende	Counter({'sufficient': 1})
volgen	Counter({'to follow': 2})
volgende	Counter({'next': 1})
volgende week	Counter({'next week': 1})
volgens	Counter({'according to': 2})
volledig	Counter({'completely, fully': 1, 'fully, complete': 1})
volleyballen	Counter({'to play volleyball': 1})
voor	Counter({'before, in front of': 1, 'for': 1, 'in front of': 1})
voor wie	Counter({'for whom': 1})
vooral	Counter({'especially': 2})
voorbereiden	Counter({'to prepare': 1})
voorbij	Counter({'past': 1})
voorkomen	Counter({'to prevent': 1})
voorlopig	Counter({'provisional': 1})
voorstellen	Counter({'to propose': 1})
voorzichtig	Counter({'careful': 2})
voorzien	Counter({'to provide': 1})
vorig	Counter({'previous': 2})
vorige	Counter({'previous (+smth)': 1})
vormen	Counter({'to form': 1})
vragen	Counter({'to ask / to request': 1, 'to ask': 1})
vreemd	Counter({'strange, foreign': 1})
vrezen	Counter({'to fear': 1})
vriendelijk	Counter({'friendly, kindly': 1, 'friendly': 1})
vriezen	Counter({'to freeze': 1})
vrij	Counter({'free': 1})
vrijdag	Counter({'Friday': 2})
vrije tijd	Counter({'leisure time': 1})
vroeg	Counter({'early': 1})
vrolijk	Counter({'cheerful': 1, 'happy (2)': 1})
vullen	Counter({'to fill': 1})
waaien	Counter({'to blow': 1})
waar	Counter({'where': 2})
waarbij	Counter({'in which': 1})
waardoor	Counter({'whereby, as a result of which': 1})
waarin	Counter({'wherein': 1})
waarmee	Counter({'with which': 1})
waarom	Counter({'why': 2})
waarop	Counter({'on which': 1})
waarschijnlijk	Counter({'probable': 1})
waarvan	Counter({'whose': 1})
wachten	Counter({'to wait': 2})
wakker	Counter({'awake': 1})
wandelen	Counter({'to go for a walk': 2})
wanneer	Counter({'when': 2})
want	Counter({'because (2)': 2})
warm	Counter({'warm': 3})
wassen	Counter({'to wash': 1})
wat	Counter({'what': 2, 'some / somewhat': 1})
week	Counter({'week': 1})
weer	Counter({'again (2)': 2})
wees	Counter({'to be (imperative)': 1})
weg	Counter({'gone, away (adv.)': 1})
weggaan	Counter({'to go away': 1, 'to leave': 1})
weinig	Counter({'little, few': 1})
wel	Counter({'good, well': 1, 'well, rather': 1})
welk	Counter({'which': 2})
welkom	Counter({'welcome': 1})
wellicht	Counter({'perhaps, maybe (2)': 1})
wensen	Counter({'to wish': 1})
werkelijk	Counter({'actual, actually': 1})
werken	Counter({'to work': 2})
west	Counter({'west': 1})
weten	Counter({'to know facts': 4})
wie	Counter({'who': 2})
wij	Counter({'we': 2})
wijn of water	Counter({'wine or water': 1})
wijzen	Counter({'to point': 1})
wild	Counter({'wild': 1})
willen	Counter({'to want': 3})
winkelen	Counter({'to go shopping': 1})
winnen	Counter({'to win': 1})
winter	Counter({'winter': 1})
wintervakantie	Counter({'winter holidays': 1})
wit	Counter({'white': 2})
woensdag	Counter({'Wednesday': 2})
wonen	Counter({'to live (somewhere)': 2, 'to live': 1})
worden	Counter({'to become': 1})
zacht	Counter({'soft': 1})
zaterdag	Counter({'Saturday': 2})
zeer	Counter({'painful': 1})
zeggen	Counter({'to say': 3})
zeker	Counter({'certainly, definitely, sure': 1, 'certainly, sure, certain': 1})
zelfde	Counter({'same': 1})
zelfs	Counter({'even': 2})
zelfstandig	Counter({'independent': 1})
zes	Counter({'six': 1})
zesde	Counter({'sixth': 1})
zestiende	Counter({'sixteenth': 1})
zetten	Counter({'to put (2)': 1})
zeven	Counter({'seven': 1})
zevende	Counter({'seventh': 1})
zeventiende	Counter({'seventeenth': 1})
zich	Counter({'(it-him-her)self short': 1})
zich bevinden	Counter({'to be located': 1})
zich legitimeren	Counter({'to identify oneself': 1})
zich ontspannen	Counter({'to relax': 1})
zich richten	Counter({'to focus': 1})
zich ziek melden	Counter({'to report oneself ill': 1})
zichzelf	Counter({'(it-him-her)self': 1})
ziek	Counter({'ill': 1, 'sick / ill': 1})
zielig	Counter({'pathetic': 1, 'sad': 1})
zien	Counter({'to see': 2})
zij	Counter({'she': 1, 'they': 1, 'she, they': 1})
zijn	Counter({'to be': 3, 'his': 1})
zingen	Counter({'to sing': 2})
zitten	Counter({'to sit': 3})
zo	Counter({'like this': 1})
zo meteen	Counter({'very soon': 1})
zo snel mogelijk	Counter({'as soon as possible': 1})
zoals	Counter({'such as': 1, 'as': 1})
zodat	Counter({'so that': 1})
zoeken	Counter({'to search': 1, 'to look for / to search': 1, 'to look for, to search': 1})
zoet	Counter({'sweet': 2})
zomaar	Counter({'simply, easily (adv.)': 1})
zomer	Counter({'summer': 1})
zondag	Counter({'Sunday': 2})
zonder	Counter({'without': 1})
zonnen	Counter({'to sunbathe': 1})
zorgen	Counter({'to care': 2})
zorgzaam	Counter({'caring': 1})
zouden	Counter({'would': 1})
zout	Counter({'salty': 2})
zoveel	Counter({'so much': 1})
zowel ... als ...	Counter({'both ... and ...': 1})
zuid	Counter({'south': 1})
zulk	Counter({'such (3)': 1})
zullen	Counter({'will, shall': 2})
zuur	Counter({'acid': 1, 'sour': 1})
zwaar	Counter({'heavy': 2})
zwak	Counter({'weak': 1})
zwanger	Counter({'pregnant': 1})
zwart	Counter({'black': 3})
zwemmen	Counter({'to swim': 1})
één	Counter({'one': 1})
éénentwintig	Counter({'twenty one': 1})
